name,count,type,is_ambiguous
algerie_(azur_lane),215,character,False
algerie_(white_sand_paradise)_(azur_lane),104,character,False
alhaitham_(genshin_impact),1350,character,False
alice_(alice_in_wonderland),3390,character,False
alice_(redrumalice),3,general,False
alice_(sorb3t),2,general,False
alice_carroll,560,character,False
alice_gear_aegis,2009,copyright,False
alice_in_wonderland,4407,copyright,False
alice_margatroid,30871,character,False
alice_margatroid_(pc-98),1293,character,False
alice_snowlight,4,general,False
alice_zuberg,1212,character,False
aliceseed,6,artist,False
alicezakat,65,artist,False
alicia_(iron_saga),2,character,False
alicia_florence,511,character,False
alien,8180,general,False
alisa_ilinichina_amiella,1673,character,False
alisa_mikhailovna_kujou,96,character,False
alise_lovell,4,general,False
aliza_(granblue_fantasy),357,character,False
all-around_helper,19,character,False
all_fours,76822,general,False
all_might,776,character,False
all_the_way_through,1063,general,True
allenerie,43,general,False
alley,3129,general,False
alluka_zoldyck,295,character,False
almond,53,general,False
almualim,213,artist,False
alolan_form,2381,general,False
alolan_raichu,371,character,False
alolan_vulpix,1030,character,False
alomomola,80,character,False
alpha_(punishing:_gray_raven),31,character,False
alpha_(yukai_na_nakamatachi),800,artist,False
alpha_pokemon,231,general,False
alpha_transparency,1049,metadata,False
alphaart,4,general,False
alracoco,201,artist,False
altennia,3,general,False
alternate_body_hair,78,general,False
alternate_body_size,811,general,False
alternate_breast_size,34322,general,False
alternate_color,21089,general,False
alternate_costume,278037,general,True
alternate_eye_color,12032,general,False
alternate_facial_hair,315,general,False
alternate_form,3365,general,False
alternate_hair_color,11822,general,False
alternate_hair_length,15099,general,False
alternate_hairstyle,86117,general,False
alternate_headwear,2256,general,False
alternate_size,160,general,False
alternate_skin_color,1690,general,False
alternate_universe,2935,general,False
alternative_bust_size,32306,deprecated,False
altina_(fire_emblem),89,character,False
aluber_the_jester_of_despia,11,character,False
alzi_xiaomi,189,artist,False
amagami,5464,copyright,False
amagasa_yun,203,artist,False
amagi-chan_(azur_lane),389,character,False
amagi_(kancolle),922,character,False
amagi_hiiro,145,character,False
amaiumi25,1,artist,False
amakami_karu,1,general,False
amakarashi,15,artist,False
amami_haruka,5166,character,False
amami_rantaro,911,character,False
amamituhosi,2,general,False
amamiya_(abaros),185,artist,False
amamiya_kokoro,629,character,False
amamiya_ren,2979,character,False
amamoyou,2,general,False
amane_kanata,4095,character,False
amane_kanata_(1st_costume),16,character,False
amane_kanata_(3rd_costume),31,character,False
amane_kanata_(5th_costume),16,character,False
amane_kanata_(6th_costume),31,character,False
amane_kanata_(cosplay),26,general,False
amane_sora,184,artist,False
amano_hina_(tenki_no_ko),296,character,False
amano_kokoko,87,artist,False
amano_nene_(digimon_xros_wars),744,character,False
amano_pikamee,544,character,False
amano_yuu_(digimon),125,character,False
amanokawa_hiro,968,character,False
amanomori_shou,48,character,False
amaotome,2,general,False
amasaki333,20,general,False
amaterasu_(p&d),64,character,False
amatsuji,206,artist,False
amatsukaze_(kancolle),6610,character,False
amatsukaze_kai_ni_(kancolle),47,character,False
amatukiamaru,23,artist,False
amaui,28,general,False
amayo_thranana,93,artist,False
amazaki_umu,10,general,False
amazon_position,1290,general,False
amazon_warrior,1031,general,False
amber_(fire_emblem),12,character,False
amber_(genshin_impact),2888,character,False
amber_(orangeamber12),12,artist,False
ambiguous_gender,4273,general,False
ambitious_elf_jinx,72,character,False
ambush_(trap),101,general,False
ame-chan_(needy_girl_overdose),622,character,False
ame.,548,artist,False
ame999garnet,9,artist,False
ame_tyaya,6,general,False
ame_usari,76,artist,False
ameiarts,73,artist,False
ameko53133,111,artist,False
amelia_(maou_to_ore_no_hangyakuki),44,character,False
ameliance_leveilleur,23,character,False
amemura_ramuda,151,character,False
ameno_(a_meno0),586,artist,False
amepa_(ame_pinecandy),26,artist,False
amera_(irisqr3),11,artist,False
america_(hetalia),1691,character,False
american_flag,3669,general,False
american_flag_bikini,3842,general,False
american_flag_dress,3206,general,False
american_flag_legwear,3657,general,False
ametant,13,general,False
amity_blight,402,character,False
amiya_(arknights),5319,character,False
amiya_(guard)_(arknights),140,character,False
amiya_(guard)_(touch_the_stars)_(arknights),47,character,False
ammo_box,3,general,False
ammunition_belt,1882,general,False
ammunition_pouch,1018,general,False
amog,317,artist,False
amondetauro,10,artist,False
amondo,27,artist,False
among_us,1027,copyright,False
amphibia,381,copyright,False
amphimon,126,character,False
amputee,7953,general,False
amumu,106,character,False
amusement_park,637,general,False
amy_rose,2207,character,True
an-94_(girls'_frontline),1435,character,False
an_lad,5,character,False
an_oath_to_my_dear_challengers_(umamusume),50,general,False
ana_schariac,7,general,False
ana_schariac_(herrscher_of_ice),3,general,False
anabel_(pokemon),355,character,False
anaketsu,12,artist,False
anal,126638,general,False
anal_beads,10240,general,True
anal_fingering,6458,general,False
anal_fisting,538,general,False
anal_gape,30,general,False
anal_hair,2690,general,False
anal_hook,270,general,False
anal_insertion,125246,deprecated,False
anal_juice,10,deprecated,False
anal_object_insertion,22475,general,False
anal_sex,120729,deprecated,False
anal_tail,14096,general,False
ananab,14,artist,False
anarchy_symbol,25,general,False
anaru,56,artist,False
anastasia_(idolmaster),3249,character,False
anatonatto0xcd2,1,artist,False
anba_kohaku,99,artist,False
anbe_yoshirou,493,artist,False
anby_demara,28,character,False
anchor,12623,general,False
anchor_(nikke),20,character,False
anchor_hair_ornament,7137,general,False
anchor_hat_ornament,100,general,False
anchor_ornament,354,general,False
anchor_print,1246,general,False
anchor_symbol,15116,general,False
anchovy_(girls_und_panzer),5041,character,False
ancient_greek_clothes,8,general,False
ancoo_mm,33,artist,False
andanden,128,artist,False
andava,381,artist,False
anderson_hood,11,general,False
andrea_salonga,6,artist,False
andrew_mytro,24,general,False
androgyne_symbol,705,general,False
androgynous,44002,general,False
android,22147,general,False
android_18,6141,character,False
android_21,2479,character,False
anemo_symbol_(genshin_impact),5,general,False
anemone_(flower),261,general,False
aneone,2,general,False
anew0106,4,general,False
ange_katrina,1273,character,False
ange_katrina_(1st_costume),14,character,False
angejiri,1,general,False
angel,17602,general,False
angel_(kof),1871,character,False
angel_beats!,5406,copyright,False
angel_bites,4,general,False
angel_boy,385,general,False
angel_devil_(chainsaw_man),811,character,False
angel_girl,1376,general,False
angel_statue,85,general,False
angel_wings,27524,general,False
angeldu,5,artist,False
angelfish,488,general,False
angelic_link,64,copyright,False
angelina_(arknights),1693,character,False
angelion_(p&d),5,character,False
angelyeah,63,artist,False
angemon,336,character,False
anger_vein,32614,general,False
angewomon,2368,character,False
ango_aleman,2,general,False
angora_rabbit,1054,general,False
angoramon,734,character,False
angry,49218,general,False
angry_vein,1,general,False
anift,3,general,False
anila_(granblue_fantasy),1244,character,False
anilingus,4838,general,False
animal,77308,general,False
animal-themed_vehicle,8,general,False
animal_around_neck,371,general,False
animal_bag,1298,general,False
animal_collar,7131,general,False
animal_costume,15064,general,False
animal_crossing,7890,copyright,False
animal_ear_fluff,126250,general,False
animal_ear_headphones,4666,general,False
animal_ear_headwear,1504,general,False
animal_ear_legwear,1371,general,False
animal_ear_piercing,20,general,False
animal_ears,921562,general,False
animal_ears_helmet,155,general,False
animal_feet,3495,general,False
animal_focus,9713,general,False
animal_hands,30790,general,False
animal_hat,11111,general,False
animal_head,476,general,False
animal_hood,20356,general,False
animal_hug,1457,general,False
animal_legs,16,general,False
animal_nose,11047,general,False
animal_on_arm,811,general,False
animal_on_back,122,general,False
animal_on_head,8930,general,False
animal_on_lap,1106,general,False
animal_on_leg,64,general,False
animal_on_shoulder,4729,general,False
animal_penis,7718,general,False
animal_print,53516,general,False
animal_request,373,metadata,False
animal_slippers,725,general,False
animalization,7153,general,False
animated,191271,metadata,False
animated_gif,118751,metadata,True
anime_coloring,2430,general,False
anime_screencap,7721,general,False
anime_style,23,general,False
